日夜,1,,,,,1,,,
今はこれまで,1,,,,1,,,,
否々乍ら,1,,,,,,,1,
世にも,,1,,,,,,,1
ぼんやり,1,,,,,,,1,
爾来,1,,,,,1,,,
思いのほか,,,1,,1,,,,
ぴんぴん,1,,,,,,,1,
どっち道,,,1,,,,1,,
何で,1,,,,,,1,,
今朝方,1,,,,,1,,,
適宜,1,,,,,,,1,
神無月,1,,,,,1,,,
健闘むなしく,1,,,,1,,,,
順序通り,1,,,,,,,,1
おっかなびっくり,1,,,,,,,1,
何処だって,1,,,,,,1,,
じりじり,1,,,,,,1,,
茫と,1,,,,,,,,1
いい塩梅に,1,,,,1,,,,
甚だ以て,,1,,,,,,1,
陽に,1,,,,,,,,1
この後,1,,,,,1,,,
丸ごと,1,,,,,,,,1
若しや,,,1,,1,,,,
景気よく,1,,,,,,,1,
しゃんと,1,,,,,,,,1
兎も角も,,,1,,1,,,,
ご親切に,,,1,,,,,1,
相共に,1,,,,,,1,,
諸所,1,,,,,,1,,
思いっきし,1,,,,,,,1,
有りのまま,1,,,,,,1,,
ぽつねんと,1,,,,,,,1,
放りっぱなし,1,,,,,,,,1
当面の間,1,,,,,,1,,
特に,,,1,,1,,,,
１００パー,,,1,,,,1,,
先々月,1,,,,,1,,,
後来,1,,,,,1,,,
戦前,1,,,,,1,,,
なんもかんも,,1,,,,,,,1
翌日,1,,,,,1,,,
散々,1,,,,1,,,,
後,1,,,,,1,,,
ザブン,,,1,,,,,,1
すっくり,1,,,,,,,,1
直ぐさま,1,,,,,,1,,
ブウブウ,,,1,,,,,,1
昼時,1,,,,,1,,,
一入,,,1,,1,,,,
命からがら,1,,,,,,,1,
どうにか,,,1,,,,1,,
だいず,,1,,,,,,,1
びちゃびちゃ,1,,,,,,,,1
ぐんにゃり,1,,,,,,,1,
翌々月,1,,,,,1,,,
訳なく,1,,,,,,,1,
一昨夜,1,,,,,1,,,
秋,1,,,,,1,,,
でっぷり,1,,,,,,,,1
直ぐに,1,,,,,,1,,
相次いで,1,,,,,,1,,
今でも,,,1,,,,1,,
くわっと,1,,,,,,,,1
つい,1,,,,,,,1,
明晩,1,,,,,1,,,
ぎゅっと,1,,,,,,,,1
ぴったり,1,,,,,,,,1
気持ち,,1,,,1,,,,
第一,1,,,,,,1,,
絶えず,1,,,,,,1,,
きしきし,1,,,,,,,,1
シャキッと,1,,,,,,,,1
案外,,,1,,1,,,,
先刻,1,,,,,1,,,
ちまちま,,1,,,,,,,1
道理で,,,1,,1,,,,
ぐぶぐぶ,1,,,,,,,,1
言わば,,,1,,1,,,,
てっきり,,,1,,,,,1,
ゴホゴホ,1,,,,,,,,1
ちょっち,,1,,,,,1,,
かたっと,1,,,,,,,,1
締めて,,,1,,1,,,,
こけつ転びつ,1,,,,,,,1,
じわり,,1,,,,,1,,
シュッシュッ,1,,,,,,,,1
旦夕,1,,,,,1,,,
淡々,1,,,,,,,1,
の様に,1,,,,,,1,,
スカスカ,1,,,,,,,,1
ぽっかり,,1,,,,,,,1
毎日,1,,,,,,1,,
うまい具合に,1,,,,,,,1,
ふらふら,1,,,,,,,,1
前期,1,,,,,1,,,
からっと,1,,,,,,,,1
一年前,1,,,,,1,,,
可也,,1,,,,,1,,
先々,1,,,,,1,,,
末,1,,,,,,1,,
よぼよぼ,1,,,,,,,,1
それ切り,1,,,,1,,,,
無下に,1,,,,,,,1,
何と言っても,,,1,,1,,,,
今茲,1,,,,,1,,,
当に,1,,,,,,1,,
一見,,,1,,,,,1,
ヒソヒソ,1,,,,,,,,1
ちょいちょい,1,,,,,,1,,
そっくり,1,,,,,,,,1
ぼつぼつ,1,,,,,,,,1
うぞうぞ,1,,,,,,,1,
長夜,1,,,,,,1,,
そろっと,,,1,,,,1,,
何が何でも,,,1,,1,,,,
最前,,1,,,,1,,,
結局,,,1,,,,1,,
よもや,,,1,,,,1,,
一つ一つ,1,,,,,,,,1
バタバタ,1,,,,,,,,1
チュンチュン,1,,,,,,,,1
山々,,1,,,,,,,1
早晩,1,,,,,1,,,
ふらり,1,,,,,,,1,
さっさと,1,,,,,,,1,
昨年,1,,,,,1,,,
しゃなりしゃなり,1,,,,,,,1,
折から,1,,,,,,1,,
どたりと,,1,,,,,,,1
依然として,1,,,,,,1,,
如何とも,,,1,,1,,,,
詮ずる所,,,1,,1,,,,
うとうと,1,,,,,,,1,
相互いに,1,,,,,,1,,
取り急ぎ,,,1,,1,,,,
ずんぐり,1,,,,,,,,1
唯一,1,,,,,,1,,
ペッ,,,1,,,,,1,
からころ,1,,,,,,,,1
時,1,,,,,1,,,
一体全体,,,1,,1,,,,
七生,,1,,,,,1,,
追っ付け,,,1,,,,1,,
如何に,,,1,,1,,,,
東西古今,,1,,,,,,,1
まんまと,1,,,,,,,,1
むしゃむしゃ,1,,,,,,,,1
どんなに,,1,,,1,,,,
何故に,,,1,,1,,,,
善くぞ,,,1,,1,,,,
到底,,,1,,1,,,,
何だって,,,1,,1,,,,
この頃,1,,,,,1,,,
ニコニコ,1,,,,,,,1,
ゴトゴト,1,,,,,,,,1
互い違いに,1,,,,1,,,,
ぷかぷか,1,,,,,,,,1
しらっと,1,,,,,,,1,
キーキー,1,,,,,,,,1
ゴキュゴキュ,1,,,,,,,,1
ある限り,,1,,,,,,,1
キレキレ,1,,,,,,,,1
天然自然,1,,,,,,,,1
何,,,1,,1,,,,
晩冬,1,,,,,1,,,
時あたかも,1,,,,,,1,,
例年になく,1,,,,,,,,1
ひと時,1,,,,,1,,,
途上,1,,,,,,1,,
その他,,,1,,1,,,,
ちょっとやそっと,,1,,,,,,,1
なる程,,,1,,1,,,,
高が,,1,,,,,,,1
現に,,,1,,1,,,,
油断なく,1,,,,,,,1,
やむを得ず,1,,,,1,,,,
ふいと,1,,,,,,1,,
きちっと,1,,,,,,,,1
同様に,1,,,,,,,,1
カチッと,1,,,,,,,,1
けろけろ,,1,,,,,,,1
終,,1,,,,1,,,
各人,,1,,,,,1,,
やむ得ず,1,,,,1,,,,
何処かしら,,,1,,1,,,,
ちょっくら,,1,,,,,,,1
ハフハフ,1,,,,,,,,1
１人あたり,1,,,,,,1,,
幸いにも,1,,,,,,,1,
年までに,1,,,,,1,,,
ぷるぷる,1,,,,,,,,1
ガリッと,1,,,,,,,,1
真っ当,,1,,,,,,1,
畢竟,,,1,,,1,,,
時節柄,,,1,,,,1,,
将来,1,,,,,1,,,
木の下闇,1,,,,,,,,1
何時でも,1,,,,,,1,,
さらっと,1,,,,,,,,1
終了後,1,,,,,1,,,
再び,1,,,,,,1,,
日常,1,,,,,,1,,
規則通り,1,,,,1,,,,
実質上,1,,,,,,,,1
がたっと,1,,,,,,,,1
一両日中,1,,,,,,1,,
ケロケロ,1,,,,,,,,1
他日,1,,,,,,1,,
ポロっと,1,,,,,,,,1
ねっとり,1,,,,,,,,1
又,,,1,,,,1,,
代々,1,,,,,,1,,
早よ,1,,,,,,1,,
旧年,1,,,,,1,,,
元気いっぱい,1,,,,,,,1,
見るも,,,1,,1,,,,
医者通い,1,,,,,,,,1
ぐしゃぐしゃ,1,,,,,,,,1
すっぱり,,1,,,,,,,1
ガシッと,1,,,,,,,,1
どばどば,,1,,,,,,,1
些とも,,1,,,,,1,,
漸く,,1,,,,,1,,
からり,1,,,,,,,,1
ミアリー,,1,,,,,,,1
取りあえず,,,1,,1,,,,
ちっとやそっと,,1,,,,,,,1
そよそよ,1,,,,,,,,1
ぐじゃぐじゃ,1,,,,,,,,1
ニヤニヤ,1,,,,,,,1,
暗々のうちに,1,,,,1,,,,
ひょっとすると,,,1,,1,,,,
こちゃこちゃ,1,,,,,,,,1
大略,,1,,,,,1,,
キーン,1,,,,,,,,1
もじゃもじゃ,1,,,,,,,,1
毎春,1,,,,,,1,,
おいそれと,,,1,,,,,1,
群々,1,,,,,,,1,
ヒーヒー,1,,,,,,,1,
へどもど,1,,,,,,,1,
共に,1,,,,,,,,1
大変,,1,,,,,,,1
事ごとに,,1,,,1,,,,
可及的速やかに,,,1,,,,1,,
唯に,,1,,,,,,,1
何条,,,1,,,,1,,
一躍,1,,,,,,,,1
しゃあしゃあ,1,,,,,,,1,
纔,,1,,,,,,,1
五分,1,,,,,,1,,
一遍,,1,,,,,1,,
向後,1,,,,,1,,,
びっくら,1,,,,,,,1,
又もや,,,1,,,,1,,
優れて,1,,,,,,,1,
日暮らし,1,,,,,,1,,
軽々,,1,,,,,,,1
尽日,1,,,,,,1,,
彼是,,,1,,,,1,,
然も,,1,,,,,,,1
日ごと夜ごと,1,,,,,,1,,
況してや,,,1,,1,,,,
ずらっと,1,,,,,,,,1
善かれ悪しかれ,,,1,,,,1,,
達て,,,1,,,,,1,
にょっきり,1,,,,,,,,1
昨朝,1,,,,,1,,,
其れなり,1,,,,,,1,,
うじゃうじゃ,,1,,,,,,,1
メロメロ,1,,,,,,,1,
ぽっきり,1,,,,,,,,1
次第次第に,,1,,,,,1,,
ビシバシ,1,,,,,,,1,
プリプリ,1,,,,,,,,1
心覚えに,,,1,,1,,,,
矢っ張り,,,1,,1,,,,
如何,,,1,,1,,,,
せずに,1,,,,,,,,1
余計,,1,,,,,,,1
脆くも,1,,,,,,,,1
吃驚,1,,,,,,,1,
ペリペリ,1,,,,,,,,1
特別,1,,,,,,,,1
口荒く,1,,,,,,,1,
恨むらくは,,,1,,1,,,,
大挙,,1,,,,,,,1
冴え冴え,1,,,,,,,,1
己と,1,,,,,,,,1
更に,1,,,,1,,,,
パシャッと,1,,,,,,,,1
げんなり,1,,,,,,,1,
さっくり,1,,,,,,,,1
グラッと,1,,,,,,,,1
正しく,,1,,,,,,,1
唖々,1,,,,,,,,1
及ばずながら,,,1,,1,,,,
後,1,,,,,1,,,
何処からともなく,,,1,,1,,,,
幾度,,1,,,1,,,,
あんまし,,1,,,,,1,,
がっぷり,1,,,,,,,,1
ちいと,,1,,,,,1,,
その上,,,1,,1,,,,
一度に,1,,,,,,1,,
今時分,1,,,,,1,,,
逐一,,1,,,,,,,1
八九分,,1,,,,,,,1
しんみり,1,,,,,,,1,
ぴょこん,1,,,,,,,1,
直と,1,,,,,,,,1
びらびら,1,,,,,,,,1
ヌルヌル,1,,,,,,,,1
１８０度,,,1,,,,,,1
寸寸,1,,,,,,,,1
カサカサ,1,,,,,,,,1
にたっと,1,,,,,,,1,
今日日,1,,,,,1,,,
とっぷり,,1,,,,,,,1
じめじめ,1,,,,,,,1,
読んで字のごとく,,,1,,1,,,,
一に,,1,,,,,,,1
即席に,1,,,,,,1,,
夜露死苦,,,1,,1,,,,
初に,1,,,,,,1,,
長年,1,,,,,,1,,
とくとく,1,,,,,,,,1
フルに,,1,,,,,,,1
先週,1,,,,,1,,,
しゅー,1,,,,,,,,1
どの位,,1,,,1,,,,
可惜,,,1,,1,,,,
即夜,1,,,,,1,,,
次第に,1,,,,,,1,,
カスカス,1,,,,,,,,1
昨春,1,,,,,1,,,
バラバラ,1,,,,,,,,1
半夜,1,,,,,,1,,
長い間,1,,,,,,1,,
ムスっと,1,,,,,,,1,
ひょろひょろ,1,,,,,,,1,
ガラリ,,1,,,,,,,1
今週中に,1,,,,,,1,,
二つずつ,1,,,,,,1,,
夜遅く,1,,,,,,1,,
ギリチョン,1,,,,,,1,,
挙句,,,1,,1,,,,
ビリッと,1,,,,,,,,1
ここの所,,,1,,,,1,,
間断なく,1,,,,,,1,,
きらっと,1,,,,,,,,1
後々,1,,,,,1,,,
夜分,1,,,,,1,,,
巡り巡って,1,,,,,,,,1
日に日に,1,,,,,,1,,
只今,,,1,,,1,,,
ねとねと,1,,,,,,,,1
輓近,1,,,,,1,,,
ゴツン,1,,,,,,,,1
きびきび,1,,,,,,,,1
くしゃくしゃ,1,,,,,,,,1
泣く泣く,1,,,,,,,1,
不意に,1,,,,,,1,,
恐らくは,,,1,,1,,,,
早かれ遅かれ,,,1,,,,1,,
再三,,1,,,,,1,,
どっかと,1,,,,,,,,1
生まれながら,,,1,,,,,,1
ついつい,,,1,,,,,1,
頓に,,,1,,,,1,,
累世,1,,,,,,,,1
今年中に,1,,,,,1,,,
ぎゅう,1,,,,,,,,1
ものの見事に,,,1,,,,,,1
ぐしゃり,1,,,,,,,,1
とまれかくまれ,,,1,,1,,,,
アシュアリッドリ,1,,,,,,,1,
さめざめ,1,,,,,,,1,
ぴしゃり,1,,,,,,,,1
恐々,1,,,,,,,1,
びしびし,1,,,,,,,1,
仮初めにも,,1,,,,,1,,
温々,1,,,,,,,,1
噂通り,,,1,,1,,,,
一瞬,1,,,,,,1,,
明春,1,,,,,1,,,
酷く,,1,,,,,,,1
がっちり,1,,,,,,,,1
当年,1,,,,,1,,,
名目上,,,1,,,,1,,
この際,,,1,,,1,,,
本初,1,,,,,,1,,
そぼそぼ,1,,,,,,,,1
adverb,status,degree,declarative,,mood,tense,aspect,voice,objects
,Yamada_1936,,,,Noda_1984,,,,
